date,open,high,low,close,volume,% daily gain/loss,avg daily price,usd traded
2017-02-10,1.2528,1.3986,1.205,1.2597,193311.03464132,0.5507662835249145,1.3,
2017-02-11,1.2536,1.3,1.2203,1.2279,116942.01681121,-2.05009572431398,1.26,
2017-02-12,1.2245,1.239,1.2001,1.2168,96097.37718899,-0.6288280930992094,1.22,
2017-02-13,1.2181,1.2315,1.15047,1.192,186658.24075848,-2.142681224858387,1.19,
2017-02-14,1.193,1.25767,1.1887,1.2492,258769.27295437,4.710813076278292,1.22,
2017-02-15,1.25,1.28,1.24,1.265,112379.70963859,1.1999999999999922,1.26,
2017-02-16,1.265,1.27433,1.23147,1.235,206355.71018055,-2.371541501976269,1.25,
2017-02-17,1.24,1.25734,1.23,1.23,116654.04708013,-0.8064516129032264,1.24,
2017-02-18,1.2309,1.24618,1.20127,1.222,182495.64452479,-0.7230481761312966,1.22,
2017-02-19,1.2221,1.2385,1.21561,1.21932,63781.74997547,-0.22747729318386423,1.23,
2017-02-20,1.2192,1.2499,1.215,1.23,64800.58191867,0.8858267716535367,1.23,
2017-02-21,1.23,1.2633,1.20744,1.2525,111430.50059974,1.829268292682924,1.24,
2017-02-22,1.257,1.38999,1.216,1.217,78259.19107943,-3.182179793158299,1.3,
2017-02-23,1.2181,1.244,1.203,1.2379,158233.44453816,1.6254823085132617,1.22,
2017-02-24,1.23019,1.255,1.0,1.2125,401924.26613629,-1.4379892536925178,1.13,
2017-02-25,1.2125,1.2209,0.60000013,1.2103,153250.78799029,-0.1814432989690705,0.91,
2017-02-26,1.2108,1.2564,0.60000011,1.24322,229275.08210535,2.6775685497191852,0.93,
2017-02-27,1.25,1.26,1.22431,1.2432,267226.73095459,-0.5439999999999934,1.24,
2017-02-28,1.2355,1.2679,1.21239,1.2311,313005.31666926,-0.356131121003639,1.24,
2017-03-01,1.2373,1.43459,1.217,1.403,799833.85247047,13.39206336377596,1.33,
2017-03-02,1.4025,1.4076,1.33072,1.3607,424715.86497246,-2.980392156862749,1.37,
2017-03-03,1.3724,1.44,1.3228,1.44,351949.89735947,4.925677645001449,1.38,
2017-03-04,1.44,1.4769,1.387,1.4292,304620.20935049,-0.7499999999999946,1.43,
2017-03-05,1.41625,1.435,1.35268,1.3939,166205.11160308,-1.578111209179177,1.39,
2017-03-06,1.3939,1.4399,1.37249,1.4274,126930.58864536,2.403328789726672,1.41,
2017-03-07,1.4318,1.43489,1.34461,1.37,374886.94562277,-4.316245285654411,1.39,
2017-03-08,1.36368,1.3746,1.27668,1.2823,393951.18532072,-5.967675701044234,1.33,
2017-03-09,1.26816,1.34109,1.2467,1.3205,202850.95389917,4.1272394650517334,1.29,
2017-03-10,1.32507,1.4299,1.208,1.2724,860283.74384371,-3.974884345732678,1.32,
2017-03-11,1.297,2.5,1.2809,1.3727,267728.16944652,5.836545875096384,1.89,
2017-03-12,1.38,1.4298,1.33735,1.4202,354509.57143147,2.9130434782608705,1.38,
2017-03-13,1.4193,1.65,1.3543,1.6474,1044777.80565096,16.071302754879163,1.5,
2017-03-14,1.64,1.77736,1.6094,1.6499,862851.27827845,0.6036585365853671,1.69,
2017-03-15,1.65868,1.80159,1.5,1.798,679148.7221902,8.399450165191604,1.65,
2017-03-16,1.7999,2.1,1.73,2.0803,1582148.38413528,15.578643257958763,1.92,
2017-03-17,2.086,2.1748,1.6595,1.8111,1658942.33433817,-13.178331735378713,1.92,
2017-03-18,1.8084,1.8227,1.10000009,1.62041,852681.83963407,-10.395377128953777,1.46,
2017-03-19,1.66448,2.0,1.62101,1.8671,486250.39651744,12.173171200615208,1.81,
2017-03-20,1.8731,1.9715,1.81552,1.9111,540496.33430499,2.028722438737923,1.89,
2017-03-21,1.9065,2.7,1.80000003,2.3647,1390116.81041113,24.033569367951742,2.25,
2017-03-22,2.3647,2.46,2.01001,2.337,846745.36340323,-1.171395948746134,2.24,
2017-03-23,2.3239,2.35579,2.10003,2.23948,444747.0371682,-3.6326864322905528,2.23,
2017-03-24,2.245,2.80000001,2.22731,2.4299,671304.24671599,8.236080178173712,2.51,
2017-03-25,2.418,2.44,2.20702,2.2574,447426.00572024,-6.6418527708850315,2.32,
2017-03-26,2.2704,2.3687,2.22581,2.3186,220803.3153729,2.1229739252995077,2.3,
2017-03-27,2.3189,2.3499,1.85001,2.1072,344788.03969289,-9.129328560955626,2.1,
2017-03-28,2.112,2.339,2.07585,2.253,396438.0934374,6.676136363636365,2.21,
2017-03-29,2.245,2.38,1.9,2.314,390407.76193748,3.073496659242759,2.14,
2017-03-30,2.32011,3.15272,2.2508,2.82,1320369.32664125,21.545961182874937,2.7,
2017-03-31,2.82,2.995,2.58012,2.8126,1303173.78671907,-0.2624113475177174,2.79,
2017-04-01,2.8125,2.84536,2.71001,2.742,210533.20828879,-2.506666666666667,2.78,
2017-04-02,2.733,2.99000001,2.5,2.6355,713412.02838318,-3.5675082327113112,2.75,
2017-04-03,2.60581,2.75,2.48245,2.582,539201.46936468,-0.9137274014605866,2.62,
2017-04-04,2.582,4.19999999,2.2,2.6732,299645.23337865,3.5321456235476445,3.2,
2017-04-05,2.6745,2.82451,2.6202,2.75034,302117.68964501,2.83567021873247,2.72,
2017-04-06,2.7575,2.8375,2.443,2.689,788144.19023638,-2.484134179510418,2.64,
2017-04-07,2.689,2.7548,2.5626,2.7393,364140.14320864,1.8705838601710676,2.66,
2017-04-08,2.74,2.8252,2.652,2.7342,337317.3984165,-0.21167883211679742,2.74,
2017-04-09,2.7342,2.7362,2.40000001,2.67,227170.22287282,-2.348035988588985,2.57,
2017-04-10,2.6699,2.6789,2.5392,2.6456,153728.81460955,-0.910146447432496,2.61,
2017-04-11,2.6457,2.6501,2.56,2.565,139265.85237968,-3.05023245265904,2.61,
2017-04-12,2.5812,2.7015,2.52417,2.656,248860.81003132,2.89787695645437,2.61,
2017-04-13,2.64252,2.6885,2.57194,2.6584,225604.57497111,0.6009415255135125,2.63,
2017-04-14,2.6379,2.7794,2.55,2.63222,396736.41837557,-0.21532279464727058,2.66,
2017-04-15,2.6956,2.73,2.45000002,2.69244,105869.85678361,-0.11722807538211433,2.59,
2017-04-16,2.7005,2.7187,2.58139,2.58544,146298.80448204,-4.260692464358442,2.65,
2017-04-17,2.6592,2.6986,2.55762,2.579,204190.30526349,-3.0159446450060026,2.63,
2017-04-18,2.59987,3.08,2.58,2.9868,657619.58035807,14.88266721028359,2.83,
2017-04-19,2.9944,3.3999,2.7502,3.2203,868171.99366517,7.5440822869356055,3.08,
2017-04-20,3.2451,3.5748,3.02163,3.4131,957280.38511995,5.177036146805959,3.3,
2017-04-21,3.4131,3.513,3.0,3.335,674528.08000626,-2.2882423603176014,3.26,
2017-04-22,3.335,3.4499,3.12003,3.4499,240953.36971409,3.4452773613193406,3.28,
2017-04-23,3.4499,3.82,3.12233,3.82,737559.84833804,10.727847183976344,3.47,
2017-04-24,3.82,4.3489,3.5,4.2855,1348782.66131208,12.185863874345552,3.92,
2017-04-25,4.2888,4.4199,3.50000001,4.2442,909071.03346968,-1.0399179257601188,3.96,
2017-04-26,4.2442,5.0826,3.5,4.59936,1825658.02505509,8.368125913010688,4.29,
2017-04-27,4.986,5.5994,4.59,5.3851,1647030.59678235,8.004412354592874,5.09,
2017-04-28,5.399,5.56,4.6067,4.91998,747084.80556187,-8.87238377477311,5.08,
2017-04-29,4.91939,5.87,4.76158,5.49738,632436.05552324,11.749220939994588,5.32,
2017-04-30,5.8498,7.0081,5.30000001,6.77,1393144.31667182,15.730452323156339,6.15,
2017-05-01,6.7989,7.999,5.95,7.2743,2443594.40784522,6.992307579167226,6.97,
2017-05-02,7.2742,7.99,6.02502,6.41167,1157194.35417568,-11.857386379258205,7.01,
2017-05-03,6.9284,7.2999,5.7947001,7.1799,634177.23402031,3.629986721320941,6.55,
2017-05-04,7.18,7.7,6.66144,7.682,1146243.2605136,6.991643454039006,7.18,
2017-05-05,7.682,7.825,6.78009,7.1706,1253110.31486064,-6.657120541525645,7.3,
2017-05-06,7.0,9.99,6.11,7.1349,497530.39576976,1.9271428571428575,8.05,
2017-05-07,7.1368,7.5062,5.17,6.54057,723911.04118377,-8.354304450173752,6.34,
2017-05-08,7.1001,7.1151,6.16618,6.42,994288.05549343,-9.578738327629194,6.64,
2017-05-09,6.42,6.449,5.0,6.1627,1418032.91147451,-4.007788161993767,5.72,
2017-05-10,6.16,6.8879,5.9,6.41843,731622.89767281,4.195292207792203,6.39,
2017-05-11,6.4325,6.674,5.5,6.3088,454502.53656726,-1.9230470268169506,6.09,
2017-05-12,6.3258,7.5,5.50000001,5.94557,294190.51202784,-6.010781245059914,6.5,
2017-05-13,6.1132,7.0,5.60538,6.0855,373402.54663848,-0.4531178433553667,6.3,
2017-05-14,6.0844,6.95,5.92821,6.7487,584397.39646604,10.918085595950313,6.44,
2017-05-15,6.7486,7.0,6.1595,6.32,497100.80967541,-6.350946863053069,6.58,
2017-05-16,6.21189,7.5,5.8,6.1205,392320.74641107,-1.4712108553113548,6.65,
2017-05-17,6.1145,6.20000001,5.53327,5.904,501892.79253521,-3.442636356202464,5.87,
2017-05-18,5.74101,6.87,5.72508,6.6851,625431.90475762,16.444667401728967,6.3,
2017-05-19,6.54882,7.7,6.34913,7.4449,788243.45979588,13.68307572967343,7.02,
2017-05-20,7.4941,8.0,6.9,6.9,379957.94136169,-7.927569688154683,7.45,
2017-05-21,7.0063,8.0699,6.6455,8.0674,747232.44038505,15.14494098168789,7.36,
2017-05-22,7.95599,9.8,7.66541,8.40099,1990782.3102304,5.593269976457993,8.73,
2017-05-23,8.40102,11.93327667,7.9503,10.804,1126084.55820773,28.6034314880812,9.94,
2017-05-24,10.803,21.88,10.11,18.349,2679251.12386488,69.8509673238915,16.0,
2017-05-25,18.49,24.89999999,13.51,15.62,2153897.89092635,-15.521903731746885,19.2,
2017-05-26,15.503,19.0,12.5,13.902,1016076.78325958,-10.327033477391478,15.75,
2017-05-27,13.854,17.1,9.5,14.792,1657393.29978171,6.770607766709981,13.3,
2017-05-28,14.96,17.0,12.797,15.08,1087711.91616924,0.8021390374331497,14.9,
2017-05-29,15.08,18.49,14.005,15.845,479544.21554129,5.072944297082231,16.25,
2017-05-30,16.25022,17.75,15.201,17.394,816304.32497689,7.0385508626960105,16.48,
2017-05-31,17.395,18.99,14.19,16.022,551028.49883556,-7.893072722046572,16.59,
2017-06-01,16.027,17.40805,15.25,15.541,372135.25168339,-3.0323828539339903,16.33,
2017-06-02,15.541,17.11,15.502,16.18,171488.02860975,4.111704523518431,16.31,
2017-06-03,16.195,17.0,15.061,15.92904,179230.97310922,-1.6422352577956143,16.03,
2017-06-04,15.92904,18.39,15.2,17.063,433702.1738051,7.1188219754611595,16.8,
2017-06-05,17.043,18.49,16.074,16.721,333457.30290701,-1.8893387314439898,17.28,
2017-06-06,16.719,17.80043,16.2,17.086,711407.53752907,2.1951073628805386,17.0,
2017-06-07,17.09,20.0,16.5,16.773,664300.58473294,-1.8548858981860747,18.25,
2017-06-08,16.741,18.69,16.11,17.116,197862.35710455,2.2400095573741114,17.4,
2017-06-09,17.133,18.21,16.5,17.22629,147047.32225827,0.5445047569018833,17.36,
2017-06-10,17.24183,19.056,16.5,18.999,491573.81311698,10.191319598905677,17.78,
2017-06-11,18.999,23.0,17.2,21.89984,984880.32337427,15.268382546449827,20.1,
2017-06-12,23.8,23.8,15.6,19.43999,993579.97102199,-18.319369747899156,19.7,
2017-06-13,19.04938,20.69999999,18.353,20.13865,423998.30434949,5.718138858062567,19.53,
2017-06-14,20.13855,20.94299,16.18467,17.6999,589256.80903623,-12.109362392029215,18.56,
2017-06-15,17.206,18.0001,13.419,17.146,907009.75134503,-0.3487155643380142,15.71,
2017-06-16,16.701,18.7,15.736,17.015,337122.53483473,1.8801269385066766,17.22,
2017-06-17,16.984,22.7,16.1,21.98446,670543.45777372,29.44218087611868,19.4,
2017-06-18,21.648,23.79938,19.383,20.03,885941.32287151,-7.474131559497406,21.59,
2017-06-19,20.01,22.39999,20.0,21.49964,351038.2378898,7.44447776111943,21.2,
2017-06-20,21.479,21.75,19.7,20.55,290895.0982968,-4.325154802365094,20.72,
2017-06-21,20.52292,21.04067,17.605,19.062,482953.1688976,-7.118480216265512,19.32,
2017-06-22,19.16554,19.65282,18.058,19.34859,244498.89181375,0.9550996215081937,18.86,
2017-06-23,19.308,20.344,19.2,19.654,156314.40284053,1.7920033146882126,19.77,
2017-06-24,19.679,19.734,17.502,18.056,211154.85228427,-8.247370293205943,18.62,
2017-06-25,18.024,21.26578,17.1,18.401,571804.77951229,2.0916555703506376,19.18,
2017-06-26,18.4208,19.75395,14.79481,17.481,809678.19908264,-5.101841396682002,17.27,
2017-06-27,17.481,18.35598,14.25,17.994,759925.90624874,2.9346147245580805,16.3,
2017-06-28,18.1998,19.22157,16.66,18.45,443161.80993617,1.3747403817624344,17.94,
2017-06-29,18.73501,18.92338,16.924,17.53,275466.18194739,-6.4318620593210145,17.92,
2017-06-30,17.7511,18.56327,16.899,17.39988,145060.12657647,-1.9785816090270543,17.73,
2017-07-01,17.134,17.54694,15.51,16.50282,185358.91110472,-3.683786623088599,16.53,
2017-07-02,16.245,17.58878,15.653,17.43991,319934.49568632,7.355555555555555,16.62,
2017-07-03,17.36338,19.0,16.503,17.19012,272300.96419382,-0.9978471933459907,17.75,
2017-07-04,18.5,19.0,7.999,17.314,207281.88893733,-6.41081081081081,13.5,
2017-07-05,17.309,18.0,10.0,17.336,124223.19234661,0.15598821422379958,14.0,
2017-07-06,17.337,19.0,16.75,17.56,125667.87693072,1.2862663667301089,17.88,
2017-07-07,17.412,19.469,15.61277,15.966,170781.55869535,-8.30461750516885,17.54,
2017-07-08,15.898,16.38122,14.5,16.28001,310457.39974707,2.402880865517682,15.44,
2017-07-09,16.299,16.8,15.4,15.431,154345.75063601,-5.325480090803119,16.1,
2017-07-10,15.505,17.3,13.277,14.1,531009.47238424,-9.061593034505005,15.29,
2017-07-11,14.162,15.41009,12.0,13.87,656970.65893026,-2.0618556701031037,13.71,
2017-07-12,13.87,19.5,13.119,18.74967,1378764.09771416,35.18147080028839,16.31,
2017-07-13,18.84,19.8,16.22,17.455,709951.49791776,-7.3513800424628535,18.01,
2017-07-14,17.455,17.9317,15.777,16.941,461511.57616891,-2.94471498138069,16.85,
2017-07-15,16.96678,17.0,14.59036,14.7,557104.06107769,-13.36010722128772,15.8,
2017-07-16,14.66,15.491,12.711,14.012,769605.40821647,-4.4201909959072285,14.1,
2017-07-17,14.018,15.55,13.82875,15.058,478535.10624827,7.419032672278493,14.69,
2017-07-18,15.068,16.49,14.5,15.721,515088.33955218,4.333687284311126,15.5,
2017-07-19,15.7,16.1,13.55,14.133,286952.59608869,-9.980891719745225,14.82,
2017-07-20,14.189,16.25,14.15,16.123,428720.86764084,13.63027697512158,15.2,
2017-07-21,16.103,17.64999,15.561,16.041,422294.31807732,-0.3850214245792781,16.61,
2017-07-22,15.979,16.99999,15.9102,16.788,135404.00311171,5.062895049752807,16.46,
2017-07-23,16.813,16.9315,15.5,16.092,159217.14534377,-4.288348301909238,16.22,
2017-07-24,16.11988,16.3915,15.75,15.93543,93068.44989916,-1.1442392871410845,16.07,
2017-07-25,16.0,16.133,13.4,14.7,250526.20015993,-8.125000000000004,14.77,
2017-07-26,14.6995,14.89,14.0,14.646,158871.01705588,-0.36395795775366274,14.44,
2017-07-27,14.658,14.843,14.24743,14.459,158317.21011094,-1.3576204120616717,14.55,
2017-07-28,14.485,14.668,13.7,13.919,205049.77273807,-3.9074905074214636,14.18,
2017-07-29,13.944,14.5257,13.15,14.26,152431.79923273,2.2662076878944273,13.84,
2017-07-30,14.26,14.471,13.457,13.8861,784963.24159196,-2.6220196353436114,13.96,
2017-07-31,13.701,14.0861,13.301,13.814,320827.49024454,0.8247573169841584,13.69,
2017-08-01,13.711,14.89,13.376,14.589,377621.15316103,6.40361753336737,14.13,
2017-08-02,14.585,15.42836,14.0,14.51788,204985.00812685,-0.46019883441893006,14.71,
2017-08-03,14.57008,15.451,14.1,15.244,213499.16112666,4.62536924985998,14.78,
2017-08-04,15.2906,15.3639,14.0,14.9661,156616.88754599,-2.1222188795730625,14.68,
2017-08-05,14.841,15.93999,14.0,15.649,505919.65453374,5.444377063540192,14.97,
2017-08-06,15.649,16.49,14.1,15.413,128895.26137038,-1.5080835836155593,15.29,
2017-08-07,15.45258,15.66193,14.5,15.221,211776.09142408,-1.498649416472843,15.08,
2017-08-08,15.225,16.092,14.6,15.9,249383.88301267,4.433497536945818,15.35,
2017-08-09,15.901,16.5,15.08,15.311,197826.24931162,-3.7104584617319656,15.79,
2017-08-10,15.3988,16.5,14.82913,15.161,161751.20789382,-1.5442761773644702,15.66,
2017-08-11,15.26,16.0,14.822,15.137,125027.65052627,-0.8060288335517649,15.41,
2017-08-12,15.101,15.6,14.37,14.602,153235.22631872,-3.3044169260313923,14.98,
2017-08-13,14.573,15.0,13.0,14.115,206729.7544353,-3.142798325670762,14.0,
2017-08-14,14.142,14.80966,13.10000002,13.996,185800.95700722,-1.0323858011596594,13.95,
2017-08-15,14.05,14.1559,13.01,13.408,193301.86606848,-4.569395017793603,13.58,
2017-08-16,13.449,14.49418,13.15,14.14983,205125.93713449,5.211019406647333,13.82,
2017-08-17,14.048,14.27173,13.502,13.788,122273.78137934,-1.850797266514805,13.89,
2017-08-18,13.765,14.494,11.692,13.456,237614.25802111,-2.2448238285506794,13.09,
2017-08-19,13.455,14.8,12.50004,13.525,137939.81849768,0.5202526941657398,13.65,
2017-08-20,13.526,14.39912,13.268,13.799,159706.29373452,2.0183350584060307,13.83,
2017-08-21,13.795,16.0,13.7,14.653,411041.70150575,6.2196447988401635,14.85,
2017-08-22,14.668,15.6,13.349,14.429,307973.01812072,-1.6293973275156737,14.47,
2017-08-23,14.432,16.7,14.00000001,15.37,873414.17467413,6.499445676274937,15.35,
2017-08-24,15.30106,17.9698754,15.001,15.28,285853.42888332,-0.13763752315199274,16.49,
2017-08-25,15.064,17.0,15.0,15.12884,189928.65923408,0.43043016463090966,16.0,
2017-08-26,15.13731,15.9,14.660001,15.276,122237.48886031,0.9162129863232003,15.28,
2017-08-27,15.22,17.0,14.7800055,16.027,378921.95524708,5.3022339027595295,15.89,
2017-08-28,16.027,16.46,15.38181,15.81,238180.7221932,-1.353965183752421,15.92,
2017-08-29,15.795,17.0,15.366,15.916,189647.9840723,0.7660652105096578,16.18,
2017-08-30,15.904,16.1,15.02,15.963,174868.93179587,0.37097585513078013,15.56,
2017-08-31,15.961,16.95,15.85,16.789,366154.35109887,5.187644884405747,16.4,
2017-09-01,16.789,22.9,16.1,22.5,1926238.25792221,34.016320209661075,19.5,
2017-09-02,22.55,24.45,18.0,19.88,1570908.67405719,-11.840354767184042,21.22,
2017-09-03,19.877,23.999,18.1,19.126,608551.27084285,-3.7782361523368606,21.05,
2017-09-04,19.126,19.5721,15.721,16.4,999357.93527057,-14.252849524207898,17.65,
2017-09-05,16.4,19.9,15.25,17.03,712953.70386693,3.841463414634162,17.58,
2017-09-06,16.972,19.7,16.972,19.241,696763.2787479,13.369078482205976,18.34,
2017-09-07,19.28,19.7,17.876,18.668,524278.60907709,-3.1742738589211714,18.79,
2017-09-08,18.472,18.82,15.896,16.72,632465.7870814,-9.48462537895194,17.36,
2017-09-09,16.635,17.2,15.0,16.318,325961.45343321,-1.9056206792906532,16.1,
2017-09-10,16.38,16.7,14.0,15.235,489550.22355746,-6.990231990231988,15.35,
2017-09-11,15.254,17.09999,14.8,15.242,289313.92536629,-0.0786678903893974,15.95,
2017-09-12,15.268,16.399,14.75,15.003,330779.59085435,-1.7356562745611772,15.57,
2017-09-13,15.065,15.51000101,13.3,14.127,479613.25656422,-6.226352472618645,14.41,
2017-09-14,14.126,14.498,10.18,10.182,1214678.41405119,-27.92014724621265,12.34,
2017-09-15,10.184,13.52,7.7,11.42,2385383.43737913,12.136684996072278,10.61,
2017-09-16,11.42,12.463,10.77,11.171,395285.0067639,-2.18038528896673,11.62,
2017-09-17,11.208,11.9999904,10.25,11.02,224458.98111614,-1.6773733047823036,11.12,
2017-09-18,11.062,13.154,11.061,12.053,689528.52463366,8.95859699873442,12.11,
2017-09-19,12.08,12.277,10.66,11.53,426587.98930841,-4.552980132450337,11.47,
2017-09-20,11.53,11.806,11.01,11.218,363653.51654798,-2.7059843885515993,11.41,
2017-09-21,11.238,11.292,10.001,10.023,538514.33480791,-10.811532301121195,10.65,
2017-09-22,10.032,10.67,9.7571,10.12,346872.37874407,0.8771929824561323,10.21,
2017-09-23,10.135,10.969,10.02,10.586,385096.42026605,4.449925999013325,10.49,
2017-09-24,10.577,10.8,10.25,10.399,228810.52560034,-1.6828968516592684,10.52,
2017-09-25,10.399,11.149,10.369,11.054,311278.03409358,6.298682565631323,10.76,
2017-09-26,11.0,12.285,10.772,11.483,496922.59528084,4.390909090909096,11.53,
2017-09-27,11.481,13.438,11.393,12.955,807090.77757701,12.838602909154256,12.42,
2017-09-28,12.937,13.96,12.65,13.222,764192.77027802,2.2029836901909263,13.3,
2017-09-29,13.228,13.77,12.11,12.715,608998.05843208,-3.878137284547928,12.94,
2017-09-30,12.693,13.6,12.56,13.165,263044.74107184,3.7185850468762274,13.08,
2017-10-01,13.241,15.5999622,12.561,12.914,196151.60008017,-2.4696019938071143,14.08,
2017-10-02,12.809,14.38999,12.331,12.429,191095.76402781,-2.9666640643297604,13.36,
2017-10-03,12.484,12.597,11.75,12.328,202008.6444193,-1.2495994873438048,12.17,
2017-10-04,12.283,12.9,11.61,11.794,183622.61230428,-3.981112106162982,12.26,
2017-10-05,11.8,12.15,11.501,11.962,134890.91949039,1.372881355932195,11.83,
2017-10-06,11.911,12.488,11.865,12.327,118552.48956516,3.492569893375874,12.18,
2017-10-07,12.301,12.8741903,11.54005,12.394,157717.63507265,0.7560360946264529,12.21,
2017-10-08,12.394,12.84845479,12.047,12.115,136213.36928639,-2.2510892367274478,12.45,
2017-10-09,12.127,12.499999,10.833,11.472,231030.35912356,-5.4011709408757405,11.67,
2017-10-10,11.448,11.7,11.219,11.4,200070.36076377,-0.4192872117400423,11.46,
2017-10-11,11.402,12.7489795,11.0,11.449,133714.83667022,0.4122083844939537,11.87,
